epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2061.12,0.71699,0.585,1.00594,0.7667,0.46473,0.53024,0.3969,1.43861,1.76608,1.75457,0.000665057,0.000665057,0.000665057
110,2079.73,0.72243,0.59619,1.00303,0.42125,0.47311,0.44243,0.32264,1.29415,1.8429,1.49122,0.000657983,0.000657983,0.000657983
111,2098.38,0.72202,0.58944,1.01224,0.45617,0.3051,0.36771,0.26881,1.31182,2.39962,1.49719,0.000650909,0.000650909,0.000650909
112,2117.68,0.69541,0.56397,0.99327,0.51548,0.61374,0.55433,0.3958,1.33654,1.47693,1.54493,0.000643836,0.000643836,0.000643836
113,2136.09,0.7073,0.56988,0.99469,0.6165,0.4626,0.54384,0.39894,1.34211,1.76897,1.47713,0.000636762,0.000636762,0.000636762
114,2155.7,0.70596,0.57777,0.99513,0.68223,0.49082,0.55613,0.4162,1.24346,1.67348,1.42751,0.000629689,0.000629689,0.000629689
115,2174.36,0.704,0.57392,1.00514,0.51749,0.60332,0.53236,0.36696,1.41476,1.54022,1.67091,0.000622615,0.000622615,0.000622615
116,2193.76,0.77125,0.62029,1.0371,0.76696,0.47008,0.54193,0.40972,1.28113,1.67961,1.52029,0.000615542,0.000615542,0.000615542
117,2212.71,0.74656,0.58422,1.0045,0.66806,0.48919,0.54066,0.39616,1.25904,1.44271,1.48621,0.000608468,0.000608468,0.000608468
118,2231.99,0.68362,0.54887,0.99182,0.73535,0.57243,0.61018,0.44327,1.29675,1.61177,1.5397,0.000601395,0.000601395,0.000601395
119,2250.69,0.69784,0.55757,0.99103,0.56086,0.5209,0.53205,0.38884,1.33233,1.67486,1.62062,0.000594321,0.000594321,0.000594321
120,2269.35,0.71883,0.55908,0.99386,0.63229,0.59535,0.58865,0.4063,1.36828,1.78131,1.62362,0.000587248,0.000587248,0.000587248
121,2288.86,0.68255,0.54582,0.98659,0.62939,0.52,0.53662,0.36784,1.41157,1.71328,1.7005,0.000580174,0.000580174,0.000580174
122,2307.01,0.68713,0.54206,0.98801,0.5977,0.59697,0.54429,0.37802,1.39269,1.65295,1.66512,0.0005731,0.0005731,0.0005731
123,2326.32,0.67774,0.54801,0.98061,0.80967,0.37185,0.46818,0.34516,1.23455,1.58167,1.46898,0.000566027,0.000566027,0.000566027
