epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,3040.28,0.49784,0.42233,0.91648,0.49813,0.57383,0.56951,0.44944,0.75188,2.1265,0.99697,0.000445777,0.000445777,0.000445777
141,3060.97,0.49383,0.41471,0.9037,0.49552,0.50253,0.53562,0.40899,0.78544,3.30252,1.01417,0.000438703,0.000438703,0.000438703
142,3083.11,0.51228,0.42252,0.91337,0.57404,0.47286,0.50912,0.4024,0.81945,1.52236,1.07853,0.000431629,0.000431629,0.000431629
143,3103.62,0.49681,0.41474,0.90611,0.59341,0.41229,0.51721,0.40347,0.78462,1.34945,1.01593,0.000424556,0.000424556,0.000424556
144,3125.32,0.50234,0.41081,0.91431,0.52633,0.54731,0.52578,0.41402,0.77094,2.39835,0.99803,0.000417482,0.000417482,0.000417482
145,3147.33,0.51739,0.42964,0.91956,0.62406,0.40816,0.47051,0.38297,0.75953,1.85668,0.97091,0.000410409,0.000410409,0.000410409
146,3169.1,0.514,0.41958,0.9147,0.57455,0.51764,0.53432,0.41333,0.73133,1.38938,0.95521,0.000403335,0.000403335,0.000403335
147,3190.84,0.46848,0.40886,0.90441,0.44862,0.63451,0.5293,0.43152,0.72554,2.13396,0.95203,0.000396262,0.000396262,0.000396262
148,3211.68,0.47499,0.40212,0.90534,0.49535,0.57229,0.50531,0.40166,0.71911,1.88619,0.96731,0.000389188,0.000389188,0.000389188
149,3233.47,0.46381,0.3845,0.90454,0.69074,0.46848,0.55086,0.43367,0.75621,1.76239,0.99941,0.000382115,0.000382115,0.000382115
150,3255.19,0.48249,0.39728,0.90121,0.4994,0.60404,0.54477,0.43076,0.73623,2.31488,0.96364,0.000375041,0.000375041,0.000375041
151,3275.85,0.47694,0.3902,0.90969,0.5952,0.49133,0.52728,0.41689,0.75822,2.08584,0.98355,0.000367967,0.000367967,0.000367967
152,3298.64,0.49993,0.41298,0.91117,0.52173,0.5671,0.54189,0.42746,0.81515,1.37111,1.05139,0.000360894,0.000360894,0.000360894
153,3320.67,0.46396,0.38646,0.90332,0.62159,0.52628,0.55913,0.45059,0.71347,1.41529,0.9627,0.00035382,0.00035382,0.00035382
154,3342.43,0.47226,0.38983,0.90035,0.63156,0.49907,0.53482,0.42075,0.76733,1.39418,1.01359,0.000346747,0.000346747,0.000346747
155,3364.08,0.45226,0.37719,0.90155,0.55037,0.47928,0.5222,0.42274,0.78291,1.44545,1.01012,0.000339673,0.000339673,0.000339673
156,3386.28,0.48129,0.38735,0.90958,0.68809,0.43751,0.53942,0.42358,0.75447,1.57843,0.99424,0.0003326,0.0003326,0.0003326
157,3408.01,0.46915,0.38399,0.90036,0.66722,0.44736,0.5626,0.45171,0.75507,1.62262,1.03227,0.000325526,0.000325526,0.000325526
158,3430.67,0.46575,0.37898,0.89506,0.54431,0.51291,0.51308,0.40599,0.75884,1.96543,1.01635,0.000318453,0.000318453,0.000318453
159,3452.21,0.47439,0.38601,0.91168,0.47874,0.53036,0.49364,0.38355,0.78788,2.28177,1.03677,0.000311379,0.000311379,0.000311379
160,3474.18,0.47982,0.3901,0.89104,0.47579,0.52319,0.49135,0.396,0.76271,2.13332,0.99809,0.000304306,0.000304306,0.000304306
161,3496.94,0.4845,0.38311,0.90332,0.6787,0.41163,0.51558,0.417,0.77912,1.73623,1.0383,0.000297232,0.000297232,0.000297232
162,3518.2,0.45826,0.36657,0.9039,0.46038,0.55349,0.49164,0.38892,0.80557,1.81346,1.07009,0.000290158,0.000290158,0.000290158
163,3540.35,0.4733,0.39506,0.90765,0.48774,0.58875,0.5299,0.40291,0.77567,2.24145,1.04471,0.000283085,0.000283085,0.000283085
164,3562.53,0.44991,0.36591,0.90615,0.57215,0.52706,0.54011,0.41472,0.72633,2.42782,0.98188,0.000276011,0.000276011,0.000276011
165,3583.31,0.45524,0.37316,0.90371,0.65367,0.49598,0.56262,0.4481,0.73556,2.67318,0.99159,0.000268938,0.000268938,0.000268938
166,3605.09,0.44698,0.35787,0.89132,0.61501,0.48609,0.54003,0.41987,0.76011,2.20199,1.01428,0.000261864,0.000261864,0.000261864
167,3626.62,0.45799,0.36363,0.90493,0.55789,0.58346,0.54177,0.4268,0.7655,3.0152,1.05211,0.000254791,0.000254791,0.000254791
168,3646.95,0.45317,0.37239,0.9028,0.57257,0.4961,0.54359,0.44033,0.71109,2.54621,0.98129,0.000247717,0.000247717,0.000247717
169,3669.04,0.46958,0.36661,0.90168,0.51891,0.5368,0.52534,0.41958,0.7327,2.41616,0.97981,0.000240644,0.000240644,0.000240644
170,3690.48,0.44503,0.36652,0.8928,0.57369,0.54717,0.53205,0.39287,0.75424,1.76073,1.01309,0.00023357,0.00023357,0.00023357
171,3712.32,0.46758,0.37233,0.90584,0.6124,0.5175,0.51771,0.39782,0.78519,1.59896,1.07149,0.000226497,0.000226497,0.000226497
172,3734.03,0.42962,0.34933,0.89926,0.51333,0.55281,0.52872,0.41493,0.76342,1.3776,1.03011,0.000219423,0.000219423,0.000219423
173,3755.08,0.45641,0.36298,0.89318,0.52896,0.5242,0.54541,0.44263,0.76404,1.42709,1.01778,0.000212349,0.000212349,0.000212349
174,3777.35,0.45555,0.37024,0.90453,0.44824,0.57707,0.53321,0.41761,0.77091,1.92869,1.04419,0.000205276,0.000205276,0.000205276
175,3799.44,0.44589,0.36547,0.89308,0.48581,0.54833,0.49698,0.39149,0.7893,1.89365,1.03441,0.000198202,0.000198202,0.000198202
176,3820.52,0.43698,0.35201,0.89022,0.71342,0.48237,0.5394,0.41008,0.75609,2.3253,1.03305,0.000191129,0.000191129,0.000191129
177,3842.6,0.43013,0.34863,0.8916,0.55623,0.5254,0.55912,0.43533,0.74293,1.74372,1.00713,0.000184055,0.000184055,0.000184055
178,3863.35,0.42683,0.35148,0.88828,0.61194,0.52233,0.55146,0.43285,0.73294,1.32557,1.01149,0.000176982,0.000176982,0.000176982
179,3885.58,0.47222,0.36739,0.8986,0.52453,0.56814,0.57143,0.43761,0.73891,1.28704,1.01238,0.000169908,0.000169908,0.000169908
180,3907.34,0.46773,0.36114,0.8939,0.4772,0.58681,0.54513,0.41513,0.73481,1.32403,1.00051,0.000162835,0.000162835,0.000162835
181,3928.28,0.45366,0.35789,0.90147,0.51253,0.55291,0.54387,0.42226,0.72048,1.42957,0.99368,0.000155761,0.000155761,0.000155761
